League type,Team A,Team B,Score,Time
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,„«·«ÊÌ,„’—, 0 - 4,15:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,‰«„Ì»Ì«,«·ﬂ«„Ì—Ê‰, 2 - 1,15:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,»Ê ”Ê«‰«,€Ì‰Ì« «·«” Ê«∆Ì…, 2 - 3,15:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,≈Ì”Ê« Ì‰Ì,ﬂ«» œÌ ›Ì—œÌ, 0 - 1,15:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,·Ì»Ì—Ì«,Ã‰Ê» √›—ÌﬁÌ«, 1 - 2,18:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,„Ê“„»Ìﬁ,«·”‰€«·, 0 - 1,18:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,Ã«„»Ì«,„«·Ì, 1 - 0,18:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«, ‰“«‰Ì«,√Ê€‰œ«, 0 - 1,19:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,Ã“— «·ﬁ„—,ﬂÊ  œÌ›Ê«—, 0 - 2,21:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«, ÊÃ‹‹‹Ê,»Ê—ﬂÌ‰« ›«”Ê, 1 - 1,21:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,·Ì»Ì«, Ê‰”, 0 - 1,22:00
 ’›Ì«  √„„ ≈›—ÌﬁÌ«,„Ê—Ì «‰Ì«,«·ﬂÊ‰€Ê «·œÌ„ﬁ—«ÿÌ…, 1 - 1,23:59
 ’›Ì«  √„„ √Ê—Ê»«,ÃÊ—ÃÌ«,«·‰—ÊÌÃ, 1 - 1,18:00
 ’›Ì«  √„„ √Ê—Ê»«,≈”ﬂ ·‰œ«,≈”»«‰Ì«, 2 - 0,20:45
 ’›Ì«  √„„ √Ê—Ê»«, —ﬂÌ«,ﬂ—Ê« Ì«, 0 - 2,20:45
 ’›Ì«  √„„ √Ê—Ê»«,ÊÌ·“,·« ›Ì«, 1 - 0,20:45
 ’›Ì«  √„„ √Ê—Ê»«,”ÊÌ”—«,«·ﬂÌ«‰ «·’ÂÌÊ‰Ì, 3 - 0,20:45
 ’›Ì«  √„„ √Ê—Ê»«,—Ê„«‰Ì«,»Ì·«—Ê”Ì«, 2 - 1,20:45
 ’›Ì«  √„„ √Ê—Ê»«,ﬂÊ”Ê›Ê,«‰œÊ—«, 1 - 1,20:45
„»«—Ì«  ÊœÌ… - „‰ Œ»« ,√·„«‰Ì«,»·ÃÌﬂ«, 2 - 3,20:45
„»«—Ì«  ÊœÌ… - „‰ Œ»« ,»Ê·Ì›Ì«,«·”⁄ÊœÌ…, 2 - 1,21:00
„»«—Ì«  ÊœÌ… - „‰ Œ»« ,«·„€—»,»Ì—Ê, 0 - 0,21:30
 ’›Ì«  »ÿÊ·… √„„ √›—ÌﬁÌ«  Õ  23,«·ﬂ«„Ì—Ê‰ «·√Ê·„»Ì,«·Ã«»Ê‰ «·√Ê·„»Ì, 1 - 0,17:00
 ’›Ì«  »ÿÊ·… √„„ √›—ÌﬁÌ«  Õ  23,€«‰« «·√Ê·„»Ì,«·Ã“«∆— «·√Ê·„»Ì, 1 - 0,18:00
 ’›Ì«  »ÿÊ·… √„„ √›—ÌﬁÌ«  Õ  23,€Ì‰Ì« «·√Ê·„»Ì,‰ÌÃÌ—Ì« «·√Ê·„»Ì, 2 - 0,20:00
 ’›Ì«  »ÿÊ·… √„„ √›—ÌﬁÌ«  Õ  23,„«·Ì «·√Ê·„»Ì,«·”‰€«· «·√Ê·„»Ì, 3 - 0,20:00
 ’›Ì«  »ÿÊ·… √„„ √›—ÌﬁÌ«  Õ  23,«·”Êœ«‰ «·√Ê·„»Ì,«·‰ÌÃ— «·√Ê·„»Ì, 1 - 2,22:00
